dt,A1,A2,A3
2004-06-07,99.59,44.38,50.1
2004-06-08,99.35,44.38,50.1
2004-06-09,99.38,44.38,50.1
2004-06-10,99.28,44.38,50.1
2004-06-11,99.28,44.38,50.1
2004-06-14,99,44.38,50.1
2004-06-15,99.84,44.38,50.1
2004-06-16,99.64,44.38,50.1
2004-06-17,99.75,44.38,50.1
2004-06-18,99.9,44.38,50.1
2004-06-21,100.03,44.38,50.1
2004-06-22,99.99,44.38,50.1
2004-06-23,99.91,44.38,50.1
2004-06-24,100.29,44.38,50.1
2004-06-25,100.26,44.38,50.1
2004-06-28,99.93,44.38,50.1
2004-06-29,99.75,44.38,50.1
2004-06-30,100.54,44.38,50.1
2004-07-01,100.23,44.38,50.1
2004-07-02,100.99,44.38,50.1
2004-07-05,100.99,44.38,50.1
2004-07-06,100.92,44.38,50.1
2004-07-07,100.86,44.38,50.1
2004-07-08,100.97,44.38,50.1
2004-07-09,100.67,44.38,50.1
2004-07-12,100.97,44.38,50.1
2004-07-13,100.86,44.38,50.1
2004-07-14,100.92,44.38,50.1
2004-07-15,100.73,44.38,50.1
2004-07-16,101.4,44.38,50.1
2004-07-19,101.25,44.38,50.1
2004-07-20,100.98,44.38,50.1
2004-07-21,100.74,44.38,50.1
2004-07-22,100.96,44.38,50.1
2004-07-23,101.19,44.38,50.1
2004-07-26,100.72,44.38,50.1
2004-07-27,100.49,44.38,50.1
2004-07-28,100.64,44.38,50.1
2004-07-29,100.41,44.38,50.1
2004-07-30,101.15,44.38,50.1
2004-08-02,100.81,44.38,50.1
2004-08-03,100.94,44.38,50.1
2004-08-04,101.16,44.38,50.1
2004-08-05,101.23,44.38,50.1
2004-08-06,101.88,44.38,50.1
2004-08-09,101.95,44.38,50.1
2004-08-10,101.68,44.38,50.1
2004-08-11,101.75,44.38,50.1
2004-08-12,101.96,44.38,50.1
2004-08-13,102.16,44.38,50.1
2004-08-16,102.04,44.38,50.1
2004-08-17,102.34,44.38,50.1
2004-08-18,102.01,44.38,50.1
2004-08-19,102.35,44.38,50.1
2004-08-20,102.05,44.38,50.1
2004-08-23,102.08,44.38,50.1
2004-08-24,102.09,44.38,50.1
2004-08-25,102.1,44.38,50.1
2004-08-26,102.29,44.38,50.1
2004-08-27,102.36,44.38,50.1
2004-08-30,102.46,44.38,50.1
2004-08-31,102.46,44.38,50.1
2004-09-01,102.51,44.38,50.1
2004-09-02,102.1,44.38,50.1
2004-09-03,102.05,44.38,50.1
2004-09-06,102.05,44.38,50.1
2004-09-07,102.04,44.38,50.1
2004-09-08,102.35,44.38,50.1
2004-09-09,102.25,44.38,50.1
2004-09-10,102.47,44.38,50.1
2004-09-13,102.57,44.38,50.1
2004-09-14,102.68,44.38,50.1
2004-09-15,102.62,44.38,50.1
2004-09-16,102.93,44.38,50.1
2004-09-17,102.5,44.38,50.1
2004-09-20,102.94,44.38,50.1
2004-09-21,102.91,44.38,50.1
2004-09-22,103.25,44.38,50.1
2004-09-23,102.94,44.38,50.1
2004-09-24,102.97,44.38,50.1
2004-09-27,102.94,44.38,50.1
2004-09-28,103.11,44.38,50.1
2004-09-29,102.52,44.38,50.1
2004-09-30,102.67,44.38,50.1
2004-10-01,102.17,44.38,50.1
2004-10-04,102.2,44.38,50.1
2004-10-05,102.19,44.38,50.1
2004-10-06,102,44.38,50.1
2004-10-07,102,44.38,50.1
2004-10-08,102.5,44.38,50.1
2004-10-11,102.6,44.38,50.1
2004-10-12,102.5,44.38,50.1
2004-10-13,102.65,44.38,50.1
2004-10-14,103.14,44.38,50.1
2004-10-15,102.95,44.38,50.1
2004-10-18,102.86,44.38,50.1
2004-10-19,102.91,44.38,50.1
2004-10-20,103.27,44.38,50.1
2004-10-21,103.01,44.38,50.1
2004-10-22,103.26,44.38,50.1
2004-10-25,103.38,44.38,50.1
2004-10-26,103.08,44.38,50.1
2004-10-27,102.85,44.38,50.1
2004-10-28,102.97,44.38,50.1
2004-10-29,103.24,44.38,50.1
2004-11-01,102.75,44.38,50.1
2004-11-02,102.65,44.38,50.1
2004-11-03,102.87,44.38,50.1
2004-11-04,102.78,44.38,50.1
2004-11-05,102.52,44.38,50.1
2004-11-08,102.15,44.38,50.1
2004-11-09,102.39,44.38,50.1
2004-11-10,102.27,44.38,50.1
2004-11-11,102.37,44.38,50.1
2004-11-12,102.49,44.38,50.1
2004-11-15,102.54,44.38,50.1
2004-11-16,102.44,44.38,50.1
2004-11-17,102.7,44.38,50.1
2004-11-18,102.74,44.38,50.1
2004-11-19,102.53,44.78,50.1
2004-11-22,102.69,44.95,50.1
2004-11-23,102.63,44.75,50.1
2004-11-24,102.73,45.05,50.1
2004-11-25,102.73,45.05,50.1
2004-11-26,102.43,45.29,50.1
2004-11-29,102.15,45.4,50.1
2004-11-30,102.2,45.12,50.1
2004-12-01,101.64,45.38,50.1
2004-12-02,101.7,44.95,50.1
2004-12-03,102.29,45.6,50.1
2004-12-06,102.4,45.17,50.1
2004-12-07,102.54,45.11,50.1
2004-12-08,102.89,44.01,50.1
2004-12-09,102.75,43.78,50.1
2004-12-10,102.62,43.44,50.1
2004-12-13,102.77,43.91,50.1
2004-12-14,102.87,43.55,50.1
2004-12-15,103.1,43.99,50.1
2004-12-16,102.7,43.68,50.1
2004-12-17,102.45,44.19,50.1
2004-12-20,102.55,44.34,50.1
2004-12-21,102.55,44.22,50.1
2004-12-22,102.77,44.02,50.1
2004-12-23,102.82,44.27,50.1
2004-12-24,102.82,44.27,50.1
2004-12-27,102.43,44.48,50.1
2004-12-28,102.38,44.37,50.1
2004-12-29,102.36,43.66,50.1
2004-12-30,102.57,43.83,50.1
2004-12-31,102.54,43.8,50.1
2005-01-03,102.4,43.02,50.1
2005-01-04,102.3,42.74,50.1
2005-01-05,102.26,42.67,50.1
2005-01-06,102.33,42.15,50.1
2005-01-07,102.3,41.84,50.1
2005-01-10,102.25,41.95,50.1
2005-01-11,102.39,42.21,50.1
2005-01-12,102.54,42.6,50.1
2005-01-13,102.79,42.6,50.1
2005-01-14,102.42,42.32,50.1
2005-01-17,102.42,42.32,50.1
2005-01-18,102.69,42.32,50.1
2005-01-19,102.84,42.26,50.1
2005-01-20,102.98,42.25,50.1
2005-01-21,103.03,42.74,50.1
2005-01-24,103.05,42.77,50.1
2005-01-25,102.87,42.24,50.1
2005-01-26,102.82,42.69,50.1
2005-01-27,102.68,42.62,50.1
2005-01-28,103.03,42.69,50.1
2005-01-31,102.9,42.22,50.1
2005-02-01,102.7,42.1,50.1
2005-02-02,102.78,42.16,50.1
2005-02-03,102.68,41.68,50.1
2005-02-04,103.08,41.47,50.1
2005-02-07,103.1,41.27,50.1
2005-02-08,103.16,41.26,50.1
2005-02-09,103.44,41.31,50.1
2005-02-10,102.91,41.75,50.1
2005-02-11,103.05,42.08,50.1
2005-02-14,103.07,42.55,50.1
2005-02-15,102.87,42.58,50.1
2005-02-16,102.75,42.52,50.1
2005-02-17,102.7,42.73,50.1
2005-02-18,102.73,42.75,50.1
2005-02-21,102.73,42.75,50.1
2005-02-22,102.44,43.57,50.1
2005-02-23,102.49,43.42,50.1
2005-02-24,102.39,43.33,50.1
2005-02-25,102.48,43.5,50.1
2005-02-28,102.21,43.52,50.1
2005-03-01,101.85,43.22,50.1
2005-03-02,101.72,43.25,50.1
2005-03-03,101.8,42.97,50.1
2005-03-04,102.09,43.38,50.1
2005-03-07,102.12,43.47,50.1
2005-03-08,101.9,44.03,50.1
2005-03-09,101.28,44.02,50.1
2005-03-10,101.16,44.2,50.1
2005-03-11,101.24,44.43,50.1
2005-03-14,101.2,44.03,50.1
2005-03-15,101.22,44.06,50.1
2005-03-16,101.29,44.31,50.1
2005-03-17,101.27,43.82,50.1
2005-03-18,101.2,43.892,50.1
2005-03-21,101.2,43.09,50.1
2005-03-22,100.65,42.65,50.1
2005-03-23,100.78,42.42,50.1
2005-03-24,100.84,42.39,50.1
2005-03-25,100.84,42.39,50.1
2005-03-28,100.64,42.54,50.1
2005-03-29,100.58,42.56,50.1
2005-03-30,100.88,42.61,50.1
2005-03-31,100.93,42.82,50.1
2005-04-01,101.06,42.62,50.1
2005-04-04,101.06,42.4,50.1
2005-04-05,100.86,42.45,50.1
2005-04-06,101.12,42.63,50.1
2005-04-07,101,42.57,50.1
2005-04-08,101,42.69,50.1
2005-04-11,101.19,42.78,50.1
2005-04-12,101.47,42.84,50.1
2005-04-13,101.61,42.9,50.1
2005-04-14,101.7,42.31,50.1
2005-04-15,102.06,42.4,50.1
2005-04-18,101.94,42.69,50.1
2005-04-19,102.07,43.28,50.1
2005-04-20,102.14,43.4,50.1
2005-04-21,101.89,43.19,50.1
2005-04-22,102.1,43.39,50.1
2005-04-25,102.06,43.44,50.1
2005-04-26,101.81,43.64,50.1
2005-04-27,102.23,43.2,50.1
2005-04-28,102.49,43,50.1
2005-04-29,102.32,43.35,50.1
2005-05-02,102.06,42.88,50.1
2005-05-03,101.92,42.76,50.1
2005-05-04,102.03,42.9,50.1
2005-05-05,102.1,42.91,50.1
2005-05-06,101.72,42.52,50.1
2005-05-09,101.64,42.55,50.1
2005-05-10,101.75,42.64,50.1
2005-05-11,101.92,42.69,50.1
2005-05-12,102.16,42.16,50.1
2005-05-13,102.26,41.95,50.1
2005-05-16,102.11,41.88,50.1
2005-05-17,102.23,41.86,50.1
2005-05-18,102.5,42.05,50.1
2005-05-19,102.25,41.98,50.1
2005-05-20,102.13,41.65,50.1
2005-05-23,102.47,41.62,50.1
2005-05-24,102.65,41.73,50.1
2005-05-25,102.63,41.87,50.1
2005-05-26,102.62,41.69,50.1
2005-05-27,102.55,41.88,50.1
2005-05-30,102.55,41.88,50.1
2005-05-31,102.83,41.65,50.1
2005-06-01,103.2,41.53,50.1
2005-06-02,103.17,42.1,50.1
2005-06-03,102.91,42.17,50.1
2005-06-06,102.93,42.48,50.1
2005-06-07,103.2,42.38,50.1
2005-06-08,103.008,42.34,50.1
2005-06-09,103,42.27,50.1
2005-06-10,102.6,42.62,50.1
2005-06-13,102.51,42.78,50.1
2005-06-14,102.38,42.6,50.1
2005-06-15,102.32,42.74,50.1
2005-06-16,102.63,43.46,50.1
2005-06-17,102.63,43.63,50.1
2005-06-20,102.4,43.66,50.1
2005-06-21,102.82,43.81,50.1
2005-06-22,103.26,43.72,50.1
2005-06-23,103.16,44.02,50.1
2005-06-24,103.32,43.9,50.1
2005-06-27,103.4,43.91,50.1
2005-06-28,103.1,43.45,50.1
2005-06-29,103.05,43.63,50.1
2005-06-30,103.38,43.44,50.1
2005-07-01,102.68,42.7,50.1
2005-07-04,102.68,42.7,50.1
2005-07-05,102.3,42.28,50.1
2005-07-06,102.46,42.25,50.1
2005-07-07,102.59,42.36,50.1
2005-07-08,102.42,42.26,50.1
2005-07-11,102.43,42.54,50.1
2005-07-12,102.38,42.64,50.1
2005-07-13,102.24,42.35,50.1
2005-07-14,102.24,41.9,50.1
2005-07-15,102.29,42.05,50.1
2005-07-18,102.11,42.01,50.1
2005-07-19,102.16,41.89,50.1
2005-07-20,102.33,42.2,50.1
2005-07-21,101.8,42.46,50.1
2005-07-22,101.95,42.45,50.1
2005-07-25,101.95,42.51,50.1
2005-07-26,102.06,42.25,50.1
2005-07-27,102,42.44,50.1
2005-07-28,102.3,42.75,50.1
2005-07-29,101.98,42.82,50.1
2005-08-01,101.59,43.13,50.1
2005-08-02,101.37,43.14,50.1
2005-08-03,101.7,43.53,50.1
2005-08-04,101.6,43.68,50.1
2005-08-05,101.1,43.6,50.1
2005-08-08,101.08,43.35,50.1
2005-08-09,101.26,43.34,50.1
2005-08-10,101.27,43.65,50.1
2005-08-11,101.54,44.45,50.1
2005-08-12,101.83,44.49,50.1
2005-08-15,101.74,44.13,50.1
2005-08-16,101.98,44.55,50.1
2005-08-17,101.77,43.91,50.1
2005-08-18,102.05,43.83,50.1
2005-08-19,101.95,43.6,50.1
2005-08-22,102.04,43.7,50.1
2005-08-23,102.11,43.76,50.1
2005-08-24,102.24,43.59,50.1
2005-08-25,102.24,43.73,50.1
2005-08-26,102.16,43.61,50.1
2005-08-29,102.2,43.57,50.1
2005-08-30,102.45,43.01,50.1
2005-08-31,102.85,43.4,50.1
2005-09-01,102.55,44.22,50.1
2005-09-02,102.6,44.25,50.1
2005-09-05,102.6,44.25,50.1
2005-09-06,102.4,44.27,50.1
2005-09-07,102.23,44.33,50.1
2005-09-08,102.22,44.6,50.1
2005-09-09,102.19,44.84,50.1
2005-09-12,102.05,44.89,50.1
2005-09-13,102.3,44.56,50.1
2005-09-14,102.19,44.96,50.1
2005-09-15,101.94,45.42,50.1
2005-09-16,101.71,45.82,50.1
2005-09-19,101.8,46.25,50.1
2005-09-20,101.73,46.23,50.1
2005-09-21,101.96,47.06,50.1
2005-09-22,102.05,46.36,50.1
2005-09-23,101.87,46.28,50.1
2005-09-26,101.62,46.57,50.1
2005-09-27,101.55,46.25,50.1
2005-09-28,101.83,46.8,50.1
2005-09-29,101.6,47.1,50.1
2005-09-30,101.55,46.7,50.1
2005-10-03,100.87,46.42,50.1
2005-10-04,101.01,46.45,50.1
2005-10-05,101.17,46.36,50.1
2005-10-06,101.1,47.21,50.1
2005-10-07,101,47.36,50.1
2005-10-10,101.13,47.37,50.1
2005-10-11,100.83,47.39,50.1
2005-10-12,100.79,46.85,50.1
2005-10-13,100.53,47.02,50.1
2005-10-14,100.5,46.8,50.1
2005-10-17,100.66,47.26,50.1
2005-10-18,100.62,47,50.1
2005-10-19,100.8,46.34,50.1
2005-10-20,100.82,45.98,50.1
2005-10-21,101.05,46.52,50.1
2005-10-24,100.85,46.39,50.1
2005-10-25,100.55,47.06,50.1
2005-10-26,100.15,46.93,50.1
2005-10-27,100.38,47.18,50.1
2005-10-28,100.22,47.22,50.1
2005-10-31,100.21,46.4,50.1
2005-11-01,99.78,45.73,50.1
2005-11-02,99.79,46.13,50.1
2005-11-03,99.45,45.96,50.1
2005-11-04,99.55,45.51,50.1
2005-11-07,99.56,45.77,50.1
2005-11-08,99.9,45.91,50.1
2005-11-09,99.64,46.56,50.1
2005-11-10,99.99,46.48,50.1
2005-11-11,100.09,46.8,50.1
2005-11-14,99.75,46.62,50.1
2005-11-15,99.89,46.66,50.1
2005-11-16,100.12,47.78,50.1
2005-11-17,100.15,48.48,50.1
2005-11-18,100.11,48.46,50.1
2005-11-21,100.43,48.99,50.1
2005-11-22,100.69,49.32,50.1
2005-11-23,100.62,49.15,50.1
2005-11-24,100.62,49.15,50.1
2005-11-25,100.71,49.55,50.1
2005-11-28,100.57,49.74,50.1
2005-11-29,100.43,49.8,50.1
2005-11-30,100.22,49.1,50.1
2005-12-01,99.75,50.17,50.1
2005-12-02,99.7,50.32,50.1
2005-12-05,99.75,50.78,50.1
2005-12-06,99.92,50.89,50.1
2005-12-07,99.79,51.32,50.1
2005-12-08,100.3,51.9,50.1
2005-12-09,99.96,52.38,50.1
2005-12-12,99.75,52.57,50.1
2005-12-13,100.13,51.65,50.1
2005-12-14,100.4,50.34,50.1
2005-12-15,100.3,50.2,50.1
2005-12-16,100.29,50.14,50.1
2005-12-19,100.37,50.22,50.1
2005-12-20,100.4,49.04,50.1
2005-12-21,100.4,49.38,50.1
2005-12-22,100.62,50.16,50.1
2005-12-23,100.88,50.15,50.1
2005-12-26,100.88,50.15,50.1
2005-12-27,101.14,50.64,50.1
2005-12-28,100.31,51.48,50.1
2005-12-29,100.47,51.53,50.1
2005-12-30,100.59,51.7,50.1
2006-01-02,100.59,51.7,50.1
2006-01-03,100.64,53.12,50.1
2006-01-04,100.88,53.31,50.1
2006-01-05,100.88,52.34,50.1
2006-01-06,100.65,53.7,50.1
2006-01-09,100.76,54.59,50.1
2006-01-10,100.56,54.09,50.1
2006-01-11,100.49,54.54,50.1
2006-01-12,100.75,54.35,50.1
2006-01-13,101.03,55.44,50.1
2006-01-16,101.03,55.44,50.1
2006-01-17,101.08,55.23,50.1
2006-01-18,101.2,54.08,50.1
2006-01-19,101.05,55.58,50.1
2006-01-20,101.1,55.17,50.1
2006-01-23,101.1,55.75,50.1
2006-01-24,100.93,55.71,50.1
2006-01-25,100.68,56.13,50.1
2006-01-26,100.37,55.86,50.1
2006-01-27,100.5,55.68,50.1
2006-01-30,100.51,56.69,50.1
2006-01-31,100.53,56.72,50.1
2006-02-01,99.8,56.67,50.1
2006-02-02,99.95,57.05,50.1
2006-02-03,100.23,56.5,50.1
2006-02-06,100.21,56.72,50.1
2006-02-07,100.14,54.6,50.1
2006-02-08,100.09,54.83,50.1
2006-02-09,100.15,56.18,50.1
2006-02-10,99.94,54.79,50.1
2006-02-13,100.01,53.72,50.1
2006-02-14,99.85,54.49,50.1
2006-02-15,99.96,53.76,50.1
2006-02-16,99.86,54.52,50.1
2006-02-17,100.27,54.96,50.1
2006-02-20,100.27,54.96,50.1
2006-02-21,99.9,55.12,50.1
2006-02-22,100.3,55.34,50.1
2006-02-23,100.24,54.64,50.1
2006-02-24,100.32,55.6,50.1
2006-02-27,100.11,55.18,50.1
2006-02-28,100.32,55.99,50.1
2006-03-01,99.94,56.07,50.1
2006-03-02,99.7,56.76,50.1
2006-03-03,99.5,56.27,50.1
2006-03-06,98.95,55.25,50.1
2006-03-07,99.2,54.99,50.1
2006-03-08,99.25,53.98,50.1
2006-03-09,99.12,54.23,50.1
2006-03-10,99.16,53.83,50.1
2006-03-13,99.34,54.32,50.1
2006-03-14,99.67,54.87,50.1
2006-03-15,99.4,55.13,50.1
2006-03-16,99.82,55.33,50.1
2006-03-17,99.6,55.12,50.1
2006-03-20,99.56,55.17,50.1
2006-03-21,99.3,54.81,50.1
2006-03-22,99.48,54.78,50.1
2006-03-23,99.4,54.7,50.1
2006-03-24,99.57,55.7,50.1
2006-03-27,99.65,56.43,50.1
2006-03-28,99.4,56.04,50.1
2006-03-29,99.2,57.09,50.1
2006-03-30,98.75,58.58,50.1
2006-03-31,99.08,58.08,50.1
2006-04-03,98.65,58.46,50.1
2006-04-04,98.73,58.38,50.1
2006-04-05,98.8,58.66,50.1
2006-04-06,98.72,59.28,50.1
2006-04-07,98.39,58.6,50.1
2006-04-10,98.3,59.56,50.1
2006-04-11,98.5,59.07,50.1
2006-04-12,98.41,59.45,50.1
2006-04-13,98.21,59.51,50.1
2006-04-14,98.21,59.51,50.1
2006-04-17,98.37,61.07,50.1
2006-04-18,98.3,61.91,50.1
2006-04-19,98.39,63.73,50.1
2006-04-20,98.24,61,50.1
2006-04-21,98.23,63.16,50.1
2006-04-24,98.6,61.64,50.1
2006-04-25,98.27,62.78,50.1
2006-04-26,98.1,63.65,50.1
2006-04-27,98.33,62.96,50.1
2006-04-28,98.55,65.08,50.1
2006-05-01,97.74,65.19,50.1
2006-05-02,97.89,66.54,50.1
2006-05-03,97.82,66.46,50.1
2006-05-04,97.77,67.48,50.1
2006-05-05,97.95,68,50.1
2006-05-08,98.02,67.56,50.1
2006-05-09,97.97,69.68,50.1
2006-05-10,97.86,70.36,50.1
2006-05-11,97.8,71.04,50.1
2006-05-12,97.59,71.09,50.1
2006-05-15,97.65,67.45,50.1
2006-05-16,98.13,68.6,50.1
2006-05-17,97.85,68.12,50.1
2006-05-18,98.26,67.46,50.1
2006-05-19,98.24,65.53,50.1
2006-05-22,98.26,65.26,50.1
2006-05-23,97.99,66.35,50.1
2006-05-24,98.01,64.06,50.1
2006-05-25,98,64.71,50.1
2006-05-26,98.42,65.05,50.1
2006-05-29,98.42,65.05,50.1
2006-05-30,98.2,65.15,50.1
2006-05-31,97.98,64.06,50.1
2006-06-01,97.52,62.56,50.1
2006-06-02,98.27,63.53,50.1
2006-06-05,97.95,63.24,50.1
2006-06-06,98.21,62.54,50.1
2006-06-07,97.9,62.29,50.1
2006-06-08,98.23,60.91,50.1
2006-06-09,98.37,60.48,50.1
2006-06-12,98.07,60.03,50.1
2006-06-13,98.35,55.92,50.1
2006-06-14,97.98,55.6,50.1
2006-06-15,97.82,57.27,50.1
2006-06-16,97.76,57.67,50.1
2006-06-19,97.5,56.46,50.1
2006-06-20,97.56,57.29,50.1
2006-06-21,97.59,58.37,50.1
2006-06-22,97.17,57.72,50.1
2006-06-23,97.22,57.94,50.1
2006-06-26,96.94,58.26,50.1
2006-06-27,97.21,57.73,50.1
2006-06-28,97.11,57.54,50.1
2006-06-29,97.45,59.4,50.1
2006-06-30,97.44,61.24,50.1
2006-07-03,97.25,62.16,50.1
2006-07-04,97.25,62.16,50.1
2006-07-05,96.91,62.52,50.1
2006-07-06,97,62.98,50.1
2006-07-07,97.36,62.66,50.1
2006-07-10,97.45,62.02,50.1
2006-07-11,97.61,63.86,50.1
2006-07-12,97.67,64.92,50.1
2006-07-13,97.75,65.52,50.1
2006-07-14,97.88,65.94,50.1
2006-07-17,97.67,64.02,50.1
2006-07-18,97.6,62.88,50.1
